barrio,airbnb_sample_size,airbnb_monthly_median_usd,airbnb_monthly_p25_usd,airbnb_monthly_p75_usd,direct_temp_furnished_sample_size,direct_temp_furnished_monthly_median_usd,direct_long_furnished_sample_size,direct_long_furnished_monthly_median_usd,direct_long_unfurnished_sample_size,direct_long_unfurnished_monthly_median_usd,savings_vs_direct_temp_furnished_usd,savings_vs_direct_temp_furnished_pct,bedrooms
Puerto Madero,68,3560.0,3188.0,4504.0,68,3726.0,129,3719.0,227,3308.0,-166.0,-5.0,2
Beccar,10,2796.0,1993.0,3282.0,,,,,25,1241.0,,,2
Palermo,864,2523.0,2030.0,3236.0,384,1848.0,311,1961.0,575,1420.0,675.0,27.0,2
San Isidro,23,2468.0,2069.0,2883.0,,,,,55,1502.0,,,2
Núñez,52,2367.0,1790.0,2833.0,37,1938.0,36,2107.0,128,1301.0,429.0,18.0,2
Recoleta,432,2295.0,1872.0,2801.0,160,1723.0,156,1853.0,357,1307.0,572.0,25.0,2
Chacarita,26,2214.0,1882.0,2723.0,,,,,21,1079.0,,,2
Tigre,35,2176.0,1986.0,2519.0,15,1786.0,,,171,1509.0,390.0,18.0,2
Retiro,146,2151.0,1746.0,2630.0,35,1529.0,54,1756.0,114,1427.0,622.0,29.0,2
Belgrano,139,2141.0,1759.0,2728.0,86,1627.0,91,1495.0,291,1272.0,514.0,24.0,2
Vicente López,41,2114.0,1752.0,2389.0,25,2081.0,49,1286.0,346,1112.0,33.0,2.0,2
Colegiales,72,2037.0,1808.0,3111.0,31,1804.0,30,1307.0,105,1186.0,233.0,11.0,2
Martínez,20,2029.0,1483.0,2483.0,,,,,40,1351.0,,,2
San Nicolás,237,2018.0,1695.0,2424.0,58,1191.0,21,967.0,96,920.0,827.0,41.0,2
Villa Crespo,85,2004.0,1590.0,2369.0,26,1293.0,22,1302.0,112,999.0,711.0,35.0,2
Olivos,13,1919.0,1699.0,2490.0,,,15,2044.0,107,1400.0,,,2
Barracas,13,1871.0,1617.0,2018.0,,,,,26,879.0,,,2
Villa Urquiza,19,1826.0,1526.0,2150.0,11,1597.0,19,1134.0,170,1182.0,229.0,13.0,2
San Telmo,75,1690.0,1427.0,2076.0,26,1154.0,15,1177.0,42,885.0,536.0,32.0,2
Monserrat,101,1688.0,1455.0,1996.0,28,1040.0,18,1263.0,56,914.0,648.0,38.0,2
Almagro,91,1653.0,1323.0,1919.0,46,1206.0,30,1122.0,168,951.0,447.0,27.0,2
Caballito,33,1641.0,1507.0,2060.0,45,1513.0,46,1169.0,286,949.0,128.0,8.0,2
Constitución,13,1633.0,1326.0,1885.0,,,,,32,845.0,,,2
San Cristóbal,13,1585.0,1381.0,1787.0,,,,,38,765.0,,,2
Balvanera,89,1566.0,1370.0,1832.0,41,1243.0,25,1108.0,147,856.0,323.0,21.0,2
La Boca,14,1408.0,1185.0,1520.0,,,,,11,830.0,,,2
