barrio_name,airbnb_n,airbnb_median,airbnb_p25,airbnb_p75,temp_furn_n,temp_furn_median,long_furn_n,long_furn_median,long_unfurn_n,long_unfurn_median,savings_vs_temp,pct_savings,bedrooms
Lanús,11,1082.0,900.0,1229.0,,,,,95,577.0,,,1
Parque Chacabuco,30,1080.0,966.0,1238.0,,,,,55,684.0,,,1
Caballito,213,1057.0,920.0,1316.0,42,782.0,34,862.0,264,700.0,275.0,26.0,1
Avellaneda,11,1038.0,869.0,1601.0,,,,,90,554.0,,,1
Flores,82,1024.0,804.0,1203.0,,,14,702.0,126,661.0,,,1
Villa Luro,14,1021.0,937.0,1490.0,,,,,49,638.0,,,1
Parque Patricios,39,1014.0,820.0,1224.0,,,,,14,642.0,,,1
Agronomía,21,1014.0,847.0,1192.0,,,,,15,707.0,,,1
San Cristóbal,82,1009.0,849.0,1220.0,18,621.0,,,53,633.0,388.0,38.0,1
Villa del Parque,46,1004.0,867.0,1192.0,,,,,74,675.0,,,1
Balvanera,580,1000.0,824.0,1224.0,91,694.0,42,802.0,180,626.0,306.0,31.0,1
Parque Chas,20,994.0,913.0,1150.0,,,,,21,693.0,,,1
Constitución,187,976.0,828.0,1216.0,19,745.0,,,48,646.0,231.0,24.0,1
Villa Ortúzar,55,958.0,800.0,1117.0,,,,,31,696.0,,,1
Tres de Febrero,30,914.0,826.0,1021.0,,,11,698.0,227,551.0,,,1
Monte Castro,11,857.0,783.0,1352.0,,,,,32,665.0,,,1
La Paternal,11,834.0,678.0,959.0,,,,,,,,,1
Boedo,39,815.0,650.0,947.0,,,,,41,643.0,,,1
Parque Avellaneda,13,807.0,761.0,947.0,,,,,14,609.0,,,1
Puerto Madero,64,3885.0,3288.0,4746.0,17,3069.0,24,3051.0,49,3113.0,816.0,21.0,2
Beccar,11,2704.0,2041.0,3170.0,,,,,,,,,2
San Isidro,23,2471.0,2227.0,2732.0,,,,,22,1177.0,,,2
Villa Devoto,11,2433.0,2256.0,3022.0,,,,,34,1294.0,,,2
Palermo,881,2366.0,1944.0,2993.0,153,1573.0,103,1655.0,193,1409.0,793.0,34.0,2
Núñez,54,2350.0,1844.0,2985.0,13,1173.0,11,1907.0,36,1112.0,1177.0,50.0,2
Chacarita,28,2230.0,1853.0,2596.0,,,,,,,,,2
Vicente López,36,2216.0,1684.0,2678.0,,,15,1486.0,108,1231.0,,,2
Recoleta,427,2213.0,1841.0,2677.0,63,1243.0,53,1656.0,101,1360.0,970.0,44.0,2
Belgrano,134,2212.0,1761.0,2687.0,39,1257.0,24,1850.0,84,1287.0,955.0,43.0,2
Tigre,31,2170.0,1871.0,2730.0,22,2313.0,40,1709.0,112,1436.0,-143.0,-7.0,2
Retiro,146,2070.0,1588.0,2559.0,21,1032.0,15,1594.0,29,1393.0,1038.0,50.0,2
Colegiales,69,2021.0,1731.0,3120.0,15,1302.0,,,25,1218.0,719.0,36.0,2
Barracas,17,1919.0,1731.0,2419.0,,,,,22,872.0,,,2
Villa Urquiza,21,1915.0,1735.0,2405.0,,,,,43,1203.0,,,2
Villa Crespo,82,1849.0,1496.0,2276.0,23,1104.0,,,15,1174.0,745.0,40.0,2
San Nicolás,241,1843.0,1553.0,2199.0,48,998.0,11,1045.0,28,879.0,845.0,46.0,2
Boedo,10,1793.0,1425.0,2064.0,,,,,18,909.0,,,2
Martínez,22,1772.0,1552.0,2364.0,,,,,25,1142.0,,,2
Monserrat,101,1750.0,1538.0,1991.0,21,1082.0,,,25,894.0,668.0,38.0,2
Olivos,13,1718.0,1643.0,2061.0,,,,,19,1472.0,,,2
Caballito,35,1710.0,1469.0,2000.0,26,1170.0,,,77,1045.0,540.0,32.0,2
San Cristóbal,14,1692.0,1341.0,2019.0,,,,,23,870.0,,,2
Almagro,93,1643.0,1327.0,1933.0,36,1153.0,14,1191.0,42,1028.0,490.0,30.0,2
San Telmo,81,1578.0,1346.0,1938.0,11,1341.0,,,14,892.0,237.0,15.0,2
Balvanera,89,1528.0,1225.0,1808.0,23,1148.0,20,1006.0,53,881.0,380.0,25.0,2
Constitución,14,1506.0,1270.0,1981.0,11,350.0,,,15,804.0,1156.0,77.0,2
Flores,11,1422.0,1262.0,1658.0,,,,,61,883.0,,,2
La Boca,14,1368.0,1261.0,1509.0,,,,,,,,,2
