as_of,market,barrio,bedroom_bucket,furnished_mode,price_band,band_lo_usd,band_hi_usd,n_active,arrivals_30d,left_market_30d,fast_exits_30d,median_days_listed_km,exited_median_days,n_events
2026-08-20,buenos-aires,Almagro,1,f,2,578.78,695.36,56,42,38,10,19.00,15.00,211
2026-08-20,buenos-aires,Almagro,1,f,3,695.36,802.74,74,72,49,23,22.00,15.00,216
2026-08-20,buenos-aires,Almagro,1,f,4,802.74,,90,67,46,16,29.00,25.00,214
2026-08-20,buenos-aires,Almagro,1,n,0,,,454,687,606,304,20.00,15.00,1900
2026-08-20,buenos-aires,Almagro,1,n,1,,453.07,109,183,194,95,21.00,15.00,481
2026-08-20,buenos-aires,Almagro,1,n,2,453.07,516.56,117,170,155,75,18.00,15.00,468
2026-08-20,buenos-aires,Almagro,1,n,3,516.56,605.35,117,171,130,64,20.00,15.00,467
2026-08-20,buenos-aires,Almagro,1,n,4,605.35,,108,162,126,70,19.00,13.00,477
2026-08-20,buenos-aires,Almagro,1,u,0,,,102,90,78,28,20.00,18.00,353
2026-08-20,buenos-aires,Almagro,1,u,1,,487.13,26,24,17,7,20.00,17.00,88
2026-08-20,buenos-aires,Almagro,1,u,2,487.13,586.09,13,17,23,8,14.00,19.00,85
2026-08-20,buenos-aires,Almagro,1,u,3,586.09,717.95,26,23,17,5,24.00,12.00,86
2026-08-20,buenos-aires,Almagro,1,u,4,717.95,,32,20,19,6,43.00,24.00,84
2026-08-20,buenos-aires,Almagro,2,a,0,,,374,415,332,164,21.00,15.00,1244
2026-08-20,buenos-aires,Almagro,2,a,1,,668.99,64,93,97,47,18.00,13.00,307
2026-08-20,buenos-aires,Almagro,2,a,2,668.99,800.00,68,102,106,58,15.00,12.00,314
2026-08-20,buenos-aires,Almagro,2,a,3,800.00,991.44,95,107,72,37,22.00,17.50,297
2026-08-20,buenos-aires,Almagro,2,a,4,991.44,,129,110,55,21,30.00,25.00,303
2026-08-20,buenos-aires,Almagro,2,f,0,,,124,91,52,24,23.00,18.00,355
2026-08-20,buenos-aires,Almagro,2,f,1,,769.23,20,21,14,8,8.00,4.00,87
2026-08-20,buenos-aires,Almagro,2,f,2,769.23,923.29,24,22,16,8,22.00,16.00,83
2026-08-20,buenos-aires,Almagro,2,f,3,923.29,1200.00,37,26,11,3,27.00,44.00,97
2026-08-20,buenos-aires,Almagro,2,f,4,1200.00,,27,22,11,5,28.00,8.00,72
2026-08-20,buenos-aires,Almagro,2,n,0,,,198,268,224,121,18.00,13.00,729
2026-08-20,buenos-aires,Almagro,2,n,1,,629.14,36,51,52,26,18.00,15.00,182
2026-08-20,buenos-aires,Almagro,2,n,2,629.14,745.10,38,62,66,34,16.00,13.50,183
2026-08-20,buenos-aires,Almagro,2,n,3,745.10,904.49,43,69,62,38,17.00,10.00,182
2026-08-20,buenos-aires,Almagro,2,n,4,904.49,,81,86,44,23,22.00,12.50,181
2026-08-20,buenos-aires,Almagro,2,u,0,,,52,56,56,19,28.00,30.00,160
2026-08-20,buenos-aires,Almagro,2,u,1,,721.31,11,12,19,6,29.00,22.00,40
2026-08-20,buenos-aires,Almagro,2,u,2,721.31,832.75,8,12,12,5,14.00,13.00,39
2026-08-20,buenos-aires,Almagro,2,u,3,832.75,992.20,15,17,11,5,22.00,22.00,37
2026-08-20,buenos-aires,Almagro,2,u,4,992.20,,16,12,12,2,34.00,34.00,38
2026-08-20,buenos-aires,Almagro,3,a,0,,,103,131,118,55,21.00,19.50,384
2026-08-20,buenos-aires,Almagro,3,a,1,,869.25,22,35,40,19,21.00,21.00,95
2026-08-20,buenos-aires,Almagro,3,a,2,869.25,1020.33,24,27,27,9,21.00,26.00,95
2026-08-20,buenos-aires,Almagro,3,a,3,1020.33,1269.50,30,36,24,12,21.00,13.50,94
2026-08-20,buenos-aires,Almagro,3,a,4,1269.50,,25,32,27,15,20.00,12.00,94
2026-08-20,buenos-aires,Almagro,3,f,0,,,21,21,13,7,22.00,21.00,57
2026-08-20,buenos-aires,Almagro,3,n,0,,,57,84,86,40,19.00,19.50,258
2026-08-20,buenos-aires,Almagro,3,n,1,,839.16,13,22,27,12,17.00,10.00,65
2026-08-20,buenos-aires,Almagro,3,n,2,839.16,986.39,12,15,20,7,16.00,26.50,65
2026-08-20,buenos-aires,Almagro,3,n,3,986.39,1223.78,18,26,16,9,15.00,12.50,65
2026-08-20,buenos-aires,Almagro,3,n,4,1223.78,,14,21,23,12,24.00,15.00,63
2026-08-20,buenos-aires,Almagro,3,u,0,,,25,26,19,8,21.00,17.00,69
2026-08-20,buenos-aires,Almagro,4,a,0,,,34,26,25,9,31.00,20.00,84
2026-08-20,buenos-aires,Almagro,4,a,1,,1313.53,5,7,9,2,27.00,29.00,23
